CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Parent_Org_ONS_Code,Org_Code,Org_Name,Org_ONS_Code,Expected_delivery_time,Indicator,Unit,Value,Data_Notes
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Within two weeks,Letters_sent_LA,%,99.6329964428886,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Over three weeks,Letters_sent_LA,Number,37,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Over three weeks,Letters_sent_REGION,Number,628,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Over three weeks,Letters_sent_LA,%,0.2491246970105,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Over three weeks,Letters_sent_REGION,%,0.175526369483,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Two to three weeks,Letters_sent_LA,Number,255,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Two to three weeks,Letters_sent_REGION,Number,10016,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Two to three weeks,Letters_sent_LA,%,1.71694047939671,
2013-14,B,North West,E12000002,00BL,Bolton,E08000001,Two to three weeks,Letters_sent_REGION,%,2.79947789290096,
