Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_ONS_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
13,2018-19,B,E12000002,North West,00EX,E06000008,Blackburn with Darwen,%,Coverage_3andhalfyears__25-49,66.95465930954370000000
13,2018-19,B,E12000002,North West,00EX,E06000008,Blackburn with Darwen,%,Coverage_5andhalfyears__50-64,75.30327868852460000000
13,2018-19,B,E12000002,North West,00EX,E06000008,Blackburn with Darwen,%,Coverage_in_period__25-64,69.51719626638490000000
13,2018-19,B,E12000002,North West,00EX,E06000008,Blackburn with Darwen,Number,Eligible__25-49,27547
13,2018-19,B,E12000002,North West,00EX,E06000008,Blackburn with Darwen,Number,Eligible__25-64,39747
13,2018-19,B,E12000002,North West,00EX,E06000008,Blackburn with Darwen,Number,Eligible__50-64,12200
13,2018-19,B,E12000002,North West,00EY,E06000009,Blackpool,%,Coverage_3andhalfyears__25-49,68.73524451939290000000
13,2018-19,B,E12000002,North West,00EY,E06000009,Blackpool,%,Coverage_5andhalfyears__50-64,70.60146557353260000000
13,2018-19,B,E12000002,North West,00EY,E06000009,Blackpool,%,Coverage_in_period__25-64,69.42111297762850000000
13,2018-19,B,E12000002,North West,00EY,E06000009,Blackpool,Number,Eligible__25-49,23720
13,2018-19,B,E12000002,North West,00EY,E06000009,Blackpool,Number,Eligible__25-64,37503
13,2018-19,B,E12000002,North West,00EY,E06000009,Blackpool,Number,Eligible__50-64,13783
13,2018-19,B,B,North West,B,B,North West,%,Coverage_3andhalfyears__25-49,71.28327652016120000000
13,2018-19,B,B,North West,B,B,North West,%,Coverage_5andhalfyears__50-64,75.47844431962960000000
13,2018-19,B,B,North West,B,B,North West,%,Coverage_in_period__25-64,72.71055062785080000000
13,2018-19,B,B,North West,B,B,North West,Number,Eligible__25-49,1274059
13,2018-19,B,B,North West,B,B,North West,Number,Eligible__25-64,1931032
13,2018-19,B,B,North West,B,B,North West,Number,Eligible__50-64,656973
