Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit,Indicator,Value
16a,2019-20,R2,North West,61930,Whiston Hospital,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R2,North West,61930,Whiston Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R2,North West,61930,Whiston Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R2,North West,62010,Manchester Cytology Centre,Number,Total_samples_All_Ages,348594
16a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,0-2_Weeks_All_Ages,78.4832785417993000000
16a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,3-4_Weeks_All_Ages,16.7369490008434000000
16a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,5-6_Weeks_All_Ages,4.7158011899229500000
16a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,7-8_Weeks_All_Ages,0.0622500674136675000
16a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,9-10_Weeks_All_Ages,0.0017212000206544000
16a,2019-20,R2,North West,62010,Manchester Cytology Centre,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,Number,Total_samples_All_Ages,81571
16a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,0-2_Weeks_All_Ages,21.0822473673242000000
16a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,3-4_Weeks_All_Ages,10.6349070135220000000
16a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,5-6_Weeks_All_Ages,27.5379730541491000000
16a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,7-8_Weeks_All_Ages,38.8434615243162000000
16a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,9-10_Weeks_All_Ages,1.9014110406884800000
16a,2019-20,R3,Yorkshire and the Humber,60310,Leeds Teaching Hospitals,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,Number,Total_samples_All_Ages,64602
16a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,0-2_Weeks_All_Ages,68.3895235441627000000
16a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,3-4_Weeks_All_Ages,9.3526516206928600000
16a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,5-6_Weeks_All_Ages,22.2454413176063000000
16a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,7-8_Weeks_All_Ages,0.0123835175381567000
16a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R3,Yorkshire and the Humber,60340,York Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,Number,Total_samples_All_Ages,91557
16a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,0-2_Weeks_All_Ages,74.6671472416091000000
16a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,3-4_Weeks_All_Ages,14.9163908821827000000
16a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,5-6_Weeks_All_Ages,10.3159780246185000000
16a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,7-8_Weeks_All_Ages,0.0830083991393340000
16a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,9-10_Weeks_All_Ages,0.0109221577814913000
16a,2019-20,R3,Yorkshire and the Humber,60470,Royal Hallamshire Hospital,%,Over10_Weeks_All_Ages,0.0065532946688947900
16a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,Number,Total_samples_All_Ages,216802
16a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,0-2_Weeks_All_Ages,44.9013385485374000000
16a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,3-4_Weeks_All_Ages,40.3377275117388000000
16a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,5-6_Weeks_All_Ages,14.7221889096964000000
16a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,7-8_Weeks_All_Ages,0.0373612789549912000
16a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,9-10_Weeks_All_Ages,0.0013837510724070800
16a,2019-20,R4,East Midlands,60370,Royal Derby Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,Number,Total_samples_All_Ages,36209
16a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,0-2_Weeks_All_Ages,1.6625700792620600000
16a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,3-4_Weeks_All_Ages,0.0635201193073545000
16a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,5-6_Weeks_All_Ages,0.1187550056615760000
16a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,7-8_Weeks_All_Ages,29.9400701483057000000
16a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,9-10_Weeks_All_Ages,42.0779364246458000000
16a,2019-20,R4,East Midlands,60420,Leicester Royal Infirmary,%,Over10_Weeks_All_Ages,26.1371482228175000000
16a,2019-20,R4,East Midlands,61450,Kettering General Hospital,Number,Total_samples_All_Ages,26824
16a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,0-2_Weeks_All_Ages,3.2098121085595000000
16a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,3-4_Weeks_All_Ages,39.4124664479571000000
16a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,5-6_Weeks_All_Ages,56.9601849090367000000
16a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,7-8_Weeks_All_Ages,0.4175365344467640000
16a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R4,East Midlands,61450,Kettering General Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,Number,Total_samples_All_Ages,43909
16a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,0-2_Weeks_All_Ages,4.9192648431984300000
16a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,3-4_Weeks_All_Ages,29.5952993691498000000
16a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,5-6_Weeks_All_Ages,49.4454439864265000000
16a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,7-8_Weeks_All_Ages,16.0354369263704000000
16a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,9-10_Weeks_All_Ages,0.0045548748548133600
16a,2019-20,R5,West Midlands,61720,Royal Stoke University Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,Number,Total_samples_All_Ages,169475
16a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,0-2_Weeks_All_Ages,23.7545360672666000000
16a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,3-4_Weeks_All_Ages,33.6202979790530000000
16a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,5-6_Weeks_All_Ages,13.1104882726066000000
16a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,7-8_Weeks_All_Ages,16.5357722377932000000
16a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,9-10_Weeks_All_Ages,6.1501696415400500000
16a,2019-20,R5,West Midlands,61740,Royal Wolverhampton Hospitals,%,Over10_Weeks_All_Ages,6.8287358017406700000
16a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,Number,Total_samples_All_Ages,21193
16a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,0-2_Weeks_All_Ages,0.0330297739819752000
16a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,3-4_Weeks_All_Ages,0.0330297739819752000
16a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,5-6_Weeks_All_Ages,0.1085264002264900000
16a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,7-8_Weeks_All_Ages,11.0319445099797000000
16a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,9-10_Weeks_All_Ages,86.4672297456707000000
16a,2019-20,R5,West Midlands,61790,Birmingham Heartlands Hospital,%,Over10_Weeks_All_Ages,2.3262397961591100000
16a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",Number,Total_samples_All_Ages,30378
16a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,0-2_Weeks_All_Ages,43.1134373559813000000
16a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,3-4_Weeks_All_Ages,22.5525051023767000000
16a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,5-6_Weeks_All_Ages,18.5561919810389000000
16a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,7-8_Weeks_All_Ages,7.0741984330765700000
16a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,9-10_Weeks_All_Ages,8.5390743301073200000
16a,2019-20,R5,West Midlands,61820,"University Hospital, Coventry",%,Over10_Weeks_All_Ages,0.1645927974191850000
16a,2019-20,R6,East of England,60500,Cervical Cytology Network,Number,Total_samples_All_Ages,136917
16a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,0-2_Weeks_All_Ages,86.9439149265613000000
16a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,3-4_Weeks_All_Ages,12.3812236610501000000
16a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,5-6_Weeks_All_Ages,0.6690184564371120000
16a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,7-8_Weeks_All_Ages,0.0029214779757079100
16a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,9-10_Weeks_All_Ages,0.0014607389878539600
16a,2019-20,R6,East of England,60500,Cervical Cytology Network,%,Over10_Weeks_All_Ages,0.0014607389878539600
